epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.3647,0,118.852,0,0,0,0,0,0.03657,82.6875,0.00012,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,19.3831,0,117.152,0,0,0,0,0,0.0656,82.6875,0.0002,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
3,24.6728,0,110.513,0,0,0,0,0,0.10831,82.75,0.00036,0.00145704,0.00048568,0.00145704,0.00048568,0.00145704,0.00048568,0.00145704,0.00048568
4,29.5941,0,100.345,0,0,0,0,0,0.24376,82.8203,0.00095,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307
5,34.681,0,85.694,0,0,0,0,0,0.34632,82.1172,0.00145,0.00229152,0.00076384,0.00229152,0.00076384,0.00229152,0.00076384,0.00229152,0.00076384
6,39.414,0,67.5297,0,0,0,0,0,0.39781,60.5469,0.00169,0.0026553,0.0008851,0.0026553,0.0008851,0.0026553,0.0008851,0.0026553,0.0008851
7,43.6692,0,52.4873,0,0,0,0,0,0.4712,25.0078,0.00198,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448,0.00298344,0.00099448
8,48.1696,0,39.0008,0,0,0,0,0,0.57206,17.6094,0.00222,0.00327594,0.00109198,0.00327594,0.00109198,0.00327594,0.00109198,0.00327594,0.00109198
9,52.7494,0,26.6117,0,0,0,0,0,0.45971,12.1094,0.00162,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776,0.0035328,0.0011776
10,57.0739,0,16.8372,0,0,0,0,0,0.52704,11.8428,0.0018,0.00375402,0.00125134,0.00375402,0.00125134,0.00375402,0.00125134,0.00375402,0.00125134
11,61.5023,0,10.9664,0,0,0,0,0,0.50771,6.79492,0.00168,0.0039396,0.0013132,0.0039396,0.0013132,0.0039396,0.0013132,0.0039396,0.0013132
12,65.945,0,6.60929,0,0,0,0,0,0.40935,0.35449,0.00136,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,70.0207,0,3.6078,0,0,0,0,0,0.33392,0.24121,0.00113,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,74.6074,0,1.96727,0,0,0,0,0,0.21393,0.16211,0.00071,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,79.42,0,1.04721,0,0,0,0,0,0.1633,0.12891,0.00054,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,84.69,0,0.54661,0,0,0,0,0,0.14164,0.12695,0.00045,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,91.3788,0,0.27214,0,0,0,0,0,0.12372,0.11523,0.00039,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,96.5665,0,0.13788,0,0,0,0,0,0.09143,0.08203,0.00028,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,101.407,0,0.0709,0,0,0,0,0,0.08983,0.08789,0.00029,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,105.644,0,0.03438,0,0,0,0,0,0.07326,0.07227,0.00023,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,109.786,0,0.01913,0,0,0,0,0,0.02173,0.01562,7e-05,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,115.213,0,0.01056,0,0,0,0,0,0.00663,0.00781,2e-05,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,121.321,0,0.00663,0,0,0,0,0,0.00341,0,1e-05,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,127.165,0,0.00428,0,0,0,0,0,0.00131,0,0,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,131.686,0,0.00297,0,0,0,0,0,0.00071,0,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,136,0,0.00228,0,0,0,0,0,0.00039,0,0,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,140.599,0,0.00181,0,0,0,0,0,0.00037,0,0,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,145.11,0,0.00157,0,0,0,0,0,0.00042,0,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,149.52,0,0.00139,0,0,0,0,0,0.00042,0,0,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,153.878,0,0.00132,0,0,0,0,0,0.00012,0,0,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
